2026-08-14 23:19:43,678 | ERROR | database | operation_id=- | Database draft read error: no such column: created_at
2026-08-14 23:20:03,878 | ERROR | database | operation_id=- | Database draft read error: no such column: created_at
2026-08-14 23:22:20,109 | ERROR | database | operation_id=- | Database draft read error: no such column: created_at
2026-08-14 23:22:37,187 | ERROR | database | operation_id=- | Database draft read error: no such column: created_at
2026-08-14 23:22:58,072 | ERROR | database | operation_id=- | Database draft read error: no such column: created_at
2026-08-14 23:23:00,759 | ERROR | database | operation_id=- | Database draft read error: no such column: created_at
2026-08-18 16:21:28,461 | ERROR | asyncio | operation_id=- | Exception in callback _ProactorBasePipeTransport._call_connection_lost()\nhandle: <Handle _ProactorBasePipeTransport._call_connection_lost()>
Traceback (most recent call last):\n  File "C:\Program Files\Python313\Lib\asyncio\events.py", line 89, in _run\n    self._context.run(self._callback, *self._args)\n    ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File "C:\Program Files\Python313\Lib\asyncio\proactor_events.py", line 165, in _call_connection_lost\n    self._sock.shutdown(socket.SHUT_RDWR)\n    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^\nConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host
2026-08-19 21:32:40,072 | ERROR | __main__ | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-19 21:35:43,248 | ERROR | __main__ | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-19 21:53:29,622 | ERROR | __main__ | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:52:33,318 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:52:33,568 | ERROR | database_connection | operation_id=- | Runtime error [OperationalError]: Cannot add a column with non-constant default
Traceback (most recent call last):\n  File "C:\Users\hr720\Desktop\eco-buddy-ai\database_connection.py", line 110, in database_connection\n    yield connection\n  File "C:\Users\hr720\Desktop\eco-buddy-ai\database.py", line 4470, in initialize_schema\n    cursor.execute(\n    ~~~~~~~~~~~~~~^\n        """\n        ^^^\n    ...<3 lines>...\n        """\n        ^^^\n    )\n    ^\nsqlite3.OperationalError: Cannot add a column with non-constant default
2026-08-24 23:52:33,570 | ERROR | database_connection | operation_id=- | Runtime error [OperationalError]: Cannot add a column with non-constant default
Traceback (most recent call last):\n  File "C:\Users\hr720\Desktop\eco-buddy-ai\database_connection.py", line 148, in execute_with_retry\n    return operation()\n  File "C:\Users\hr720\Desktop\eco-buddy-ai\database.py", line 4470, in initialize_schema\n    cursor.execute(\n    ~~~~~~~~~~~~~~^\n        """\n        ^^^\n    ...<3 lines>...\n        """\n        ^^^\n    )\n    ^\nsqlite3.OperationalError: Cannot add a column with non-constant default
2026-08-24 23:52:33,571 | ERROR | database | operation_id=- | Database init error: Cannot add a column with non-constant default
2026-08-24 23:54:56,558 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:55:40,254 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:56:48,030 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:57:15,224 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:57:48,279 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:59:05,467 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-24 23:59:42,485 | ERROR | app | operation_id=- | Failed to start digest scheduler: name 'start_digest_scheduler' is not defined
2026-08-25 00:03:02,545 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:04:20,580 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:04:33,166 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:06:18,913 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:07:08,280 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:07:08,660 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:07:08,662 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:07:43,420 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:07:43,775 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:07:43,778 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:10:16,289 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:10:16,657 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:10:16,660 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:11:38,987 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:11:39,353 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:11:39,355 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:12:22,783 | INFO | src.lib.digest_scheduler | operation_id=- | Digest scheduler started
2026-08-25 00:12:23,376 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
2026-08-25 00:12:23,378 | ERROR | habit_tracker | operation_id=- | Error loading habits from DB: no such table: user_habits
